concurrency,cuts_ok,errors,wall_s,throughput_cps,p50_ms,p95_ms,p99_ms
1,30,0,2.41,12.47,77.8,95.5,99.5
2,60,0,4.57,13.13,145.4,175.0,175.6
5,150,0,11.31,13.27,369.6,452.6,474.5
10,300,0,23.38,12.83,746.1,930.2,947.2
20,600,0,45.78,13.11,1497.2,1751.8,1793.8
